Country,Life Expectancy,Fertility Rate,Region,Population,Flag
CAN,80.66,1.67,North America,33739900,https://www.countryflags.io/CA/flat/48.png'
DEU,79.84,1.36,Europe,81902307,https://www.countryflags.io/DE/flat/48.png'
DNK,78.6,1.84,Europe,5523095,https://www.countryflags.io/DK/flat/48.png'
EGY,72.73,2.78,Middle East,79716203,https://www.countryflags.io/eg/flat/48.png'
GBR,80.05,2,Europe,61801570,https://www.countryflags.io/GB/flat/48.png'
IRN,72.49,1.7,Middle East,73137148,https://www.countryflags.io/IE/flat/48.png
IRQ,68.09,4.77,Middle East,31090763,https://www.countryflags.io/Iq/flat/48.png
ISR,81.55,2.96,Middle East,7485600,https://www.countryflags.io/IL/flat/48.png
RUS,68.6,1.54,Europe,141850000,https://www.countryflags.io/RU/flat/48.png
USA,78.09,2.05,North America,307007000,https://www.countryflags.io/US/flat/48.png
